word,pinyin,meaning
改变,gǎibiàn,変更する
干杯,gānbēi,乾杯
干燥,gānzào,乾燥
感动,gǎndòng,感動する
感觉,gǎnjué,感じる
感情,gǎnqíng,気持ち、感情
感谢,gǎnxiè,感謝
干,gàn,干す
刚刚,gānggāng,ついさっき、たったいま
高级,gāojí,高い、高級な
各,gè,各
个子,gèzi,身長、背格好
公里,gōnglǐ,キロ、km
工具,gōngjù,工具
工资,gōngzī,賃金
共同,gòngtóng,共同の、共通の
够,gòu,十分に
购物,gòuwù,ショッピング
孤单,gūdān,孤独
估计,gūjì,推量する、見積もる
鼓励,gǔlì,激励する、励ます
鼓掌,gǔzhǎng,拍手
顾客,gùkè,顧客
故意,gùyì,わざと
挂,guà,掛ける、つるす
关键,guānjiàn,要、鍵
观众,guānzhòng,聴衆
管理,guǎnlǐ,管理
光,guāng,ライト
广播,guǎngbō,放送
广告,guǎnggào,広告
逛,guàng,ぶらぶら歩く
规定,guīdìng,規定
国际,guójì,国際
果然,guǒrán,案の定、果たせるかな
过,guò,～したことがある
过程,guòchéng,プロセス、過程
海洋,hǎiyáng,海洋
害羞,hàixiū,シャイ、恥ずかしがる
寒假,hánjià,冬休み
汗,hàn,汗
航班,hángbān,フライト
好处,hǎochù,利益
好像,hǎoxiàng,～のような
号码,hàomǎ,番号
合格,hégé,合格する
合适,héshì,適当である、ちょうどよい
盒子,hézi,箱
猴子,hóuzi,猿
厚,hòu,厚い
后悔,hòuhuǐ,後悔
后来,hòulái,その後
忽然,hūrán,突然
护士,hùshì,看護師
互相,hùxiāng,互いに
怀疑,huáiyí,疑いを抱く、疑う
回忆,huíyì,記憶
活动,huódòng,活動
活泼,huópō,活発
火,huǒ,火災
获得,huòdé,獲得する、得る
基础,jīchǔ,基礎、土台
激动,jīdòng,興奮する、感動する
积极,jījí,積極的な、ポジティブな
积累,jīlěi,蓄積
极其,jíqí,極めて
集合,jíhé,集合する、集まる
及时,jíshí,適時である
即使,jíshǐ,たとえ〜であっても
寄,jì,送る
记者,jìzhě,記者
计划,jìhuà,計画
既然,jìrán,〜するからには
技术,jìshù,技術、テクノロジー
继续,jìxù,継続する
家具,jiājù,家具
加班,jiābān,残業
加油站,jiāyóuzhàn,ガソリンスタンド
假,jiǎ,偽物
价格,jiàgé,価格
坚持,jiānchí,やり通す、堅持する
减肥,jiǎnféi,ダイエットする
减少,jiǎnshǎo,減少
将来,jiānglái,将来
奖金,jiǎngjīn,ボーナス
降低,jiàngdī,下がる、低下する
交,jiāo,つきあう、交わる
交流,jiāoliú,交流する、交換する
交通,jiāotōng,交通、トラフィック
骄傲,jiāo'ào,誇りに思う
饺子,jiǎozi,餃子
教授,jiàoshòu,教授
教育,jiàoyù,教育
接受,jiēshòu,受け入れる、受け取る
结果,jiéguǒ,結果
节约,jiéyuē,節約する
解释,jiěshì,説明する、解釈する
尽管,jǐnguǎn,〜にもかかわらず
紧张,jǐnzhāng,緊張
进行,jìnxíng,進行する、行なわれる
禁止,jìnzhǐ,禁止
精彩,jīngcǎi,すばらしい、見事である
精神,jīngshén,精神
经济,jīngjì,経済
经历,jīnglì,経歴
经验,jīngyàn,経験
京剧,jīngjù,中国の劇
警察,jǐngchá,警察
竟然,jìngrán,意外にも、なんと
竞争,jìngzhēng,競争
镜子,jìngzi,鏡
究竟,jiùjìng,結局のところ
举办,jǔbàn,挙行する、開催する
拒绝,jùjué,拒絶
距离,jùlí,距離
开玩笑,kāiwánxiào,冗談を言う
看法,kànfǎ,見方、見解
考虑,kǎolǜ,考慮する、考える
棵,kē,木
科学,kēxué,科学
咳嗽,késòu,咳
可怜,kělián,哀れである、かわいそうである
可是,kěshì,しかし
可惜,kěxí,惜しい、残念である
肯定,kěndìng,肯定する
空气,kōngqì,空気
恐怕,kǒngpà,恐がる
苦,kǔ,苦い
宽,kuān,広い
困,kùn,眠い
困难,kùnnán,困難
扩大,kuòdà,拡大する、広げる
拉,lā,引く
垃圾桶,lāsītǒn,ゴミ
辣,là,辛い
来不及,láibují,間に合わない
来得及,láidéjí,間に合う
懒,lǎn,怠惰である
浪费,làngfèi,浪費
浪漫,làngmàn,浪漫
老虎,lǎohǔ,虎
冷静,lěngjìng,冷静
理发,lǐfǎ,散髪する
理解,lǐjiě,理解
理想,lǐxiǎng,理想的
礼貌,lǐmào,礼儀
厉害,lìhài,すごい
力气,lìqì,力、体力
例如,lìrú,例えば
俩,liǎ,どちらも
连,lián,つながる、連なる
联系,liánxì,結びつく、関連する
凉快,liángkuai,涼しい
亮,liàng,明るい
聊天,liáotiān,話す
另外,lìngwài,別の、ほかの
留,liú,とどまる、引き止める
留学,liúxué,留学
流泪,liúlèi,注ぐ、涕涙する
流利,liúlì,流暢
流行,liúxíng,流行っている
乱,luàn,秩序のない、乱れている
律师,lǜshī,弁護士
麻烦,máfan,煩わしい、面倒である
马虎,mǎhǔ,いい加減である、なおざりである
满,mǎn,満ちている、いっぱいである
毛巾,máojīn,タオル
美丽,měilì,美しい
梦,mèng,夢
密码,mìmǎ,パスワード
免费,miǎnfèi,費用を免除する、無料にする
民族,mínzú,国家、民族
母亲,mǔqīn,母
目的,mùdì,目的
耐心,nàixīn,辛抱強い、我慢強い
难道,nándào,まさか〜ではあるまい
难受,nánshòu,苦しい、つらい
内,nèi,以内
内容,nèiróng,内容、コンテンツ
能力,nénglì,能力
年龄,niánlíng,年齢
农村,nóngcūn,農村、田舎
弄,nòng,路地、する
暖和,nuǎnhuo,暖かい
偶尔,ǒu'ěr,時には
排列,páiliè,配列する
判断,pànduàn,判断する、断定する
陪,péi,同伴する、付き添う
批评,pīpíng,批判する
皮肤,pífū,皮膚
脾气,píqì,気性、性質
篇,piān,編、篇
骗,piàn,だます、欺く
乒乓球,pīngpāngqiú,卓球
平时,píngshí,通常、いつも
瓶子,píngzi,瓶、ボトル
破,pò,壊す
普遍,pǔbiàn,普遍的である
其次,qícì,次、その次
其中,qízhōng,その中、そのう
起飞,qǐfēi,離陸
起来,qǐlái,起き上がる、起きて座る
气候,qìhòu,気候
千万,qiānwàn,ぜひ、きっと
签证,qiānzhèng,査証、ビザ
墙,qiáng,壁
敲,qiāo,たたいて音を出す
桥,qiáo,橋
巧克力,qiǎokèlì,チョコレート
亲戚,qīnqī,親戚、親類
轻,qīng,軽い
轻松,qīngsōng,リラックス
情况,qíngkuàng,状況、事態
请假,qǐngjià,休暇をもらう、休みを取る
请客,qǐngkè,招く、誘う、おごる
穷,qióng,貧しい、貧乏である
区别,qūbié,区別する、見分ける
取,qǔ,取る、取って来る
全部,quánbù,完成、全部
缺点,quēdiǎn,欠点、短所
缺少,quēshǎo,欠乏する、不足する
却,què,退く、後退する
确实,quèshí,確実である、確かである
群,qún,群れ、群
然而,rán'ér,但し
热闹,rènào,にぎやかである
人民币,rénmínbì,人民元
任何,rènhé,いかなる、どのような
任务,rènwù,任務
扔,rēng,投げる、ほうる
仍然,réngrán,依然として、あいかわらず
日记,rìjì,日記
入口,rùkǒu,入口
软,ruǎn,軟らかい
散步,sànbù,散歩する
森林,sēnlín,森
沙发,shāfā,ソファ
商量,shāngliáng,話し合う、相談する
伤心,shāngxīn,心を傷つける、悲しい
稍微,shāowéi,少し、ちょっと
社会,shèhuì,社会
深,shēn,深い
申请,shēnqǐng,申請する
甚至,shènzhì,〜さえ、〜すら
生活,shēnghuó,生活
生命,shēngmìng,生命
省,shěng,節約する、省
剩,shèng,残る、余る
失败,shībài,敗れる、負ける
失望,shīwàng,失望した
师傅,shīfù,師匠、親方
湿润,shīrùn,湿って潤いがある
狮子,shīzi,獅子、ライオン
十分,shífēn,十分
实际,shíjì,実際
实在,shízài,本当に、全く
食品,shípǐn,食品
使用,shǐyòng,使う
试,shì,試す
市场,shìchǎng,市場
适合,shìhé,適する
适应,shìyìng,適応する、相応
世纪,shìjì,世紀
收,shōu,集める、収める
收入,shōurù,収入
收拾,shōushí,片づける、整理する
首都,shǒudū,首都
首先,shǒuxiān,最初に、真っ先に
受不了,shòubùliǎo,耐えられない
受到,shòudào,受ける、被る
售货员,shòuhuòyuán,売り子、店員
输,shū,負ける、敗れる
熟悉,shúxī,よく知っている、熟知している
数量,shùliàng,数量
数字,shùzì,数字、デジタル
帅,shuài,カッコいい
顺便,shùnbiàn,ついでに
顺利,shùnlì,うまく進む、支障がない
顺序,shùnxù,順序、順番．
说明,shuōmíng,説明
硕士,shuòshì,修士号
死,sǐ,死ぬ
速度,sùdù,速度、スピード
塑料袋,sùliàodài,ビニール袋
酸,suān,酸っぱい
算,suàn,計算する、勘定する
随便,suíbiàn,都合のよいようにする
随着,suízhe,つれて、従って
孙子,sūnzi,孫
所有,suǒyǒu,全て
台,tái,駅
抬,tái,リフト
态度,tàidù,態度
谈,tán,話す
弹钢琴,dàngāngqín,ピアノを弾く
汤,tāng,スープ
趟,tàng,往復する回数を数える量詞
躺,tǎng,横たわる、横になる
讨论,tǎolùn,討論する
讨厌,tǎoyàn,嫌い
特点,tèdiǎn,特色、特徴
提供,tígōng,提供
提前,tíqián,繰り上げる
提醒,tíxǐng,注意を促す
填空,tiánkòng,空欄に記入する
条件,tiáojiàn,条件
停止,tíngzhǐ,停止する
挺,tǐng,非常に、とても
通过,tōngguò,によって
通知,tōngzhī,お知らせ、通知
同情,tóngqíng,同情
推,tuī,押す
推迟,tuīchí,遅らせる、延ばす
脱,tuō,脱ぐ
袜子,wàzi,靴下
完全,wánquán,完全である
往,wǎng,〜へ
往往,wǎngwǎng,往々にして、しばしば
网球,wǎngqiú,テニス
网站,wǎngzhàn,ウェブサイト
危险,wéixiǎn,危険な
味道,wèidào,味
温度,wēndù,温度
文章,wénzhāng,記事、文章
握手,wòshǒu,握手
污染,wūrǎn,汚染
无,wú,無い
无聊,wúliáo,退屈である、つまらない
无论,wúlùn,かかわらず、どんなであっても
误会,wùhuì,誤解
西红柿,xīhóngshì,トマト
吸引,xīyǐn,吸い寄せる、引きつける．
洗衣机,xǐyījī,洗濯機
咸,xián,塩味
现代,xiàndài,近代的、現代
羡慕,xiànmù,羨ましい
限制,xiànzhì,制限する
香,xiāng,香り
相反,xiāngfǎn,反して
详细,xiángxì,詳細
响,xiǎng,音がする、鳴る
消息,xiāoxī,ニュース、報道
小说,xiǎoshuō,小説
笑话,xiàohuà,冗談、笑い話
效果,xiàoguǒ,効果、結果
辛苦,xīnkǔ,苦しい、つらい
心情,xīnqíng,気持ち、気分
信任,xìnrèn,信頼する
信心,xìnxīn,自信、信念
信用卡,xìnyòngkǎ,クレジットカード
兴奋,xīngfèn,興奮する
行,xíng,行
醒,xǐng,覚める
性别,xìngbié,性別
性格,xìnggé,性格
幸福,xìngfú,幸せ
修,xiū,直す
许多,xǔduō,多くの
血,xuè,血液
压力,yālì,圧力
牙膏,yágāo,歯磨
亚洲,yàzhōu,アジア
呀,ya,うん
盐,yán,塩
严格,yángé,たいへん厳しい、厳格である
严重,yánzhòng,重大である、深刻である
研究生,yánjiūshēng,大学院生．
演出,yǎnchū,演出
演员,yǎnyuán,俳優
阳光,yángguāng,日光
养成,yǎngchéng,作り上げる、身につける
样子,yàngzi,様子
邀请,yāoqǐng,招く、招待する．
钥匙,yàoshi,鍵
也许,yěxǔ,あるいは〜かもしれない
页,yè,ページ
叶子,yèzi,葉
一切,yīqiè,すべて
以,yǐ,によって
亿,yì,一億
意见,yìjiàn,意見
艺术,yìshù,アート、芸術
因此,yīncǐ,それだからこそ
饮料,yǐnliào,飲物
引起,yǐnqǐ,引き起こす
印象,yìnxiàng,印象
赢,yíng,勝利
硬,yìng,硬い
勇敢,yǒnggǎn,勇敢
永远,yǒngyuǎn,永久に
优点,yōudiǎn,長所、メリット
优秀,yōuxiù,優秀
幽默,yōumò,ユーモア
由,yóu,によって、理由
由于,yóuyú,〜によって、〜のために
尤其,yóuqí,とりわけ、殊に
有趣,yǒuqù,面白い
友好,yǒuhǎo,友好的である
友谊,yǒuyì,友情
愉快,yúkuài,愉快である、心楽しい
于是,yúshì,それから
与,yǔ,と
语法,yǔfǎ,文法、語法
语言,yǔyán,言語
羽毛球,yǔmáoqiú,バドミントン
预习,yùxí,予習する
圆,yuán,円い、円形である
原来,yuánlái,元々
原谅,yuánliàng,許す
原因,yuányīn,原因、理由
约会,yuēhuì,会う約束をする．
阅读,yuèdú,閲読する、読む
允许,yǔnxǔ,許す、認める
杂志,zázhì,雑誌
咱们,zánmen,我々
暂时,zhànshí,一時、しばらく
脏,zàng,汚い
责任,zérèn,責任
增加,zēngjiā,増加する
增长,zēngzhǎng,増える
窄,zhǎi,狭い
招聘,zhāopìn,募集する、招く
真正,zhēnzhèng,本当の、真の
整理,zhěnglǐ,整理する、整頓
整齐,zhěngqí,秩序がある、秩序正しい
正常,zhèngcháng,正常である
正好,zhènghǎo,ちょうどよい
正确,zhèngquè,正確
正式,zhèngshì,正式の、公式の
证明,zhèngmíng,証明する
之,zhī,それは
只,zhǐ,単独の、たった一つの
支持,zhīchí,支持する、支援する
知识,zhīshì,知識
值得,zhídé,値段に見合う、割に合う
直接,zhíjiē,直接的である
植物,zhíwù,植物
职业,zhíyè,職業
指,zhǐ,指
只好,zhǐhǎo,やむなく、やむをえず
只要,zhǐyào,〜しさえすれば
质量,zhìliàng,品質
至少,zhìshǎo,少なくとも
制造,zhìzào,製造する、作る
中文,zhōngwén,中国語
重点,zhòngdiǎn,重要な、重点的な
重视,zhòngshì,重視する
周围,zhōuwéi,周りに
猪,zhū,豚
逐渐,zhújiàn,次第に、だんだん
主动,zhǔdòng,主体的である
主意,zhǔyì,考え
祝贺,zhùhè,祝う
著名,zhùmíng,著名である
专门,zhuānmén,専門
专业,zhuānyè,専攻
赚,zhuàn,もうける
撞,zhuàng,ぶつかる
准确,zhǔnquè,精度が高い
准时,zhǔnshí,時間が正確である
仔细,zǐxì,注意深い、こまやかである
自然,zìrán,自然に
总结,zǒngjié,概要、まとめる
租,zū,家賃
组成,zǔchéng,組み合わせる、構成する
组织,zǔzhī,組織
嘴,zuǐ,口
最好,zuì hǎo,最高
最后,zuìhòu,遂に
尊重,zūnzhòng,尊敬
生意,shēngyì,ビジネス
座,zuò,座る
座位,zuòwèi,座席
作者,zuòzhě,著者、作者
